body_mass_g,species,sex
4850,Gentoo,female
5300,Gentoo,male
4400,Gentoo,female
5000,Gentoo,male
4900,Gentoo,female
5050,Gentoo,male
4300,Gentoo,female
5000,Gentoo,male
4450,Gentoo,female
5550,Gentoo,male
4200,Gentoo,female
5300,Gentoo,male
4400,Gentoo,female
5650,Gentoo,male
4700,Gentoo,female
5700,Gentoo,male
5800,Gentoo,male
4700,Gentoo,female
5550,Gentoo,male
4750,Gentoo,female
5000,Gentoo,male
5100,Gentoo,male
5200,Gentoo,female
4700,Gentoo,female
5800,Gentoo,male
4600,Gentoo,female
6000,Gentoo,male
4750,Gentoo,female
5950,Gentoo,male
4625,Gentoo,female
5450,Gentoo,male
4725,Gentoo,female
5350,Gentoo,male
4750,Gentoo,female
5600,Gentoo,male
4600,Gentoo,female
5300,Gentoo,male
4875,Gentoo,female
5550,Gentoo,male
4950,Gentoo,female
5400,Gentoo,male
4750,Gentoo,female
5650,Gentoo,male
4850,Gentoo,female
5200,Gentoo,male
4925,Gentoo,male
4875,Gentoo,female
4625,Gentoo,female
5250,Gentoo,male
4850,Gentoo,female
5600,Gentoo,male
4975,Gentoo,female
5500,Gentoo,male
5500,Gentoo,male
4700,Gentoo,female
5500,Gentoo,male
4575,Gentoo,female
5500,Gentoo,male
5000,Gentoo,female
5950,Gentoo,male
4650,Gentoo,female
5500,Gentoo,male
4375,Gentoo,female
5850,Gentoo,male
6000,Gentoo,male
4925,Gentoo,female
4850,Gentoo,female
5750,Gentoo,male
5200,Gentoo,female
5400,Gentoo,male
3500,Chinstrap,female
3900,Chinstrap,male
3650,Chinstrap,male
3525,Chinstrap,female
3725,Chinstrap,male
3950,Chinstrap,female
3250,Chinstrap,female
3750,Chinstrap,male
4150,Chinstrap,female
3700,Chinstrap,male
3800,Chinstrap,female
3775,Chinstrap,male
3700,Chinstrap,female
4050,Chinstrap,male
3575,Chinstrap,female
4050,Chinstrap,male
3300,Chinstrap,male
3700,Chinstrap,female
3450,Chinstrap,female
4400,Chinstrap,male
3600,Chinstrap,female
3400,Chinstrap,male
2900,Chinstrap,female
3800,Chinstrap,male
3300,Chinstrap,female
4150,Chinstrap,male
3400,Chinstrap,female
3800,Chinstrap,male
3700,Chinstrap,female
4550,Chinstrap,male
3200,Chinstrap,female
4300,Chinstrap,male
3350,Chinstrap,female
4100,Chinstrap,male
3600,Chinstrap,male
3900,Chinstrap,female
3850,Chinstrap,female
4800,Chinstrap,male
2700,Chinstrap,female
4500,Chinstrap,male
3950,Chinstrap,male
3650,Chinstrap,female
3550,Chinstrap,male
3500,Chinstrap,female
3675,Chinstrap,female
4450,Chinstrap,male
3400,Chinstrap,female
4300,Chinstrap,male
3250,Chinstrap,male
3675,Chinstrap,female
3325,Chinstrap,female
3950,Chinstrap,male
3600,Chinstrap,female
4050,Chinstrap,male
3350,Chinstrap,female
3450,Chinstrap,male
3250,Chinstrap,female
4050,Chinstrap,male
3800,Chinstrap,male
3525,Chinstrap,female
3950,Chinstrap,male
3650,Chinstrap,female
3650,Chinstrap,female
4000,Chinstrap,male
3400,Chinstrap,female
3775,Chinstrap,male
4100,Chinstrap,male
3775,Chinstrap,female
